X,Y,GEOCODIGO,MUNICIPIO,UF,CD_UF,HIDRO,icon_url
-46.3213180757387,-24.0212308320353,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3212486967683,-24.0129010881291,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3211822162763,-24.0127007293862,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3209387920556,-24.0157801036029,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3209515808734,-24.0115081691813,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3206919996895,-24.0112976621902,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3190044810839,-24.0058802306737,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3188132473266,-24.0001829799784,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.318338938093,-23.9993521737326,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3176995272752,-24.0153772858945,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3174648166594,-24.0140263928177,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3166273951482,-24.0072129329411,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3165546442827,-24.0066707326691,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3155139820576,-24.0135941298991,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3154386989089,-24.010523120198,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3147690429851,-24.0176469215785,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3135525620061,-24.014179155967,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.312097134958,-24.0085923048707,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3110269408404,-24.0196191718152,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.309744673553,-24.0171680327512,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3102931009084,-23.9968961747062,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3097455625688,-24.0083357720979,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3086784930714,-24.0225470548514,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3087585487458,-24.010388120262,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3079684534323,-24.0092458720769,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3081730204584,-24.0010249009925,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3047160391781,-24.0017460855835,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3040640186839,-24.0106016803091,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.305263930958,-23.9486862950384,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3027322347178,-24.0126854620516,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.3021257618806,-23.9284658370607,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2973472962799,-23.9986189340592,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2987139351681,-23.9421101743366,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2908297961543,-24.0008585919686,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2923747714484,-23.9453932243301,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
-46.2892360424467,-24.0214678677862,3518701.00000000000,GUARUJÁ,SP,"35",nascente,./0.png
